siteID,seas,year,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO02,Summer,1984,36,93,25,0.213,0.034,0.569,0.204,0.143,0.873,0.112,0.925,-9,4.956,10.943,4289.6,34.036,5,91,6/5/1984 0:00,9/4/1984 0:00
CO02,Fall,1984,39,100,32,0.247,0.046,0.047,0.064,0.096,0.699,0.134,0.7,-9,5.149,6.735,5476.7,37.946,5,91,9/4/1984 0:00,12/4/1984 0:00
CO02,Winter,1985,26,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,26,0,84,12/4/1984 0:00,2/26/1985 0:00
CO02,Spring,1985,7,100,4,0.26,0.035,0.027,0.059,0.4,1.73,0.15,1.35,-9,4.67,15.3,583.9,40.056,1,98,2/26/1985 0:00,6/4/1985 0:00
CO02,Summer,1985,39,100,61,0.102,0.021,0.07,0.029,0.034,0.565,0.11,0.747,-9,4.96,9.184,5033.2,10.694,4,91,6/4/1985 0:00,9/3/1985 0:00
CO02,Fall,1985,69,100,75,0.089,0.024,0.013,0.032,0.025,0.396,0.057,0.432,-9,5.042,6.138,6843.3,32.118,9,91,9/3/1985 0:00,12/3/1985 0:00
CO02,Winter,1986,39,100,45,0.09,0.021,0.012,0.045,0.014,0.685,0.078,0.445,-9,4.967,7.41,814.9,52.094,5,91,12/3/1985 0:00,3/4/1986 0:00
CO02,Spring,1986,23,100,12,0.446,0.041,0.032,0.101,0.324,1.091,0.101,1.033,-9,6.189,8.624,2308.8,46.912,2,91,3/4/1986 0:00,6/3/1986 0:00
CO02,Summer,1986,77,100,85,0.198,0.029,0.03,0.058,0.11,1.18,0.118,0.911,-9,4.853,11.34,9145.8,17.083,10,91,6/3/1986 0:00,9/2/1986 0:00
CO02,Fall,1986,92,100,94,0.21,0.029,0.047,0.129,0.134,0.977,0.107,0.936,-9,5.096,8.576,5307.2,24.672,12,91,9/2/1986 0:00,12/2/1986 0:00
CO02,Winter,1987,92,100,100,0.16,0.025,0.026,0.181,0.076,0.686,0.099,0.615,-9,5.276,6.268,2718.4,34.748,12,91,12/2/1986 0:00,3/3/1987 0:00
CO02,Spring,1987,92,100,100,0.138,0.021,0.02,0.059,0.136,0.736,0.079,0.61,-9,5.072,7.205,8440.6,19.655,12,91,3/3/1987 0:00,6/2/1987 0:00
CO02,Summer,1987,100,100,100,0.148,0.02,0.018,0.068,0.135,0.979,0.079,0.719,-9,4.929,8.624,8050.3,15.214,12,91,6/2/1987 0:00,9/1/1987 0:00
CO02,Fall,1987,92,100,93,0.103,0.016,0.03,0.088,0.089,0.572,0.114,0.467,-9,5.144,6.311,5088.7,15.371,9,91,9/1/1987 0:00,12/1/1987 0:00
CO02,Winter,1988,46,100,59,0.105,0.014,0.022,0.083,0.054,0.494,0.093,0.36,-9,5.181,5.088,4387,59.69,6,91,12/1/1987 0:00,3/1/1988 0:00
CO02,Spring,1988,54,100,35,0.412,0.042,0.027,0.146,0.075,0.625,0.114,0.753,-9,5.475,6.586,5044.5,67.273,5,91,3/1/1988 0:00,5/31/1988 0:00
CO02,Summer,1988,54,100,48,0.312,0.046,0.085,0.108,0.091,1.609,0.152,1.576,-9,4.672,16.62,3912.6,9.739,6,91,5/31/1988 0:00,8/30/1988 0:00
CO02,Fall,1988,100,100,100,0.1,0.016,0.016,0.073,0.067,0.402,0.056,0.48,-9,5.261,4.879,4687.7,24.443,11,91,8/30/1988 0:00,11/29/1988 0:00
CO02,Winter,1989,8,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,53.595,0,91,11/29/1988 0:00,2/28/1989 0:00
CO02,Spring,1989,0,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,36.195,0,91,2/28/1989 0:00,5/30/1989 0:00
CO02,Summer,1989,69,100,81,0.159,0.022,0.024,0.054,0.372,1.251,0.105,0.857,-9,5.091,8.681,8739.3,15.772,7,91,5/30/1989 0:00,8/29/1989 0:00
CO02,Fall,1989,92,100,98,0.253,0.038,0.046,0.134,0.168,0.803,0.133,0.592,-9,5.766,6.287,4106.4,38.963,10,91,8/29/1989 0:00,11/28/1989 0:00
CO02,Winter,1990,62,100,71,0.13,0.028,0.052,0.124,0.16,0.679,0.191,0.403,-9,5.564,6.711,4885.7,74.574,8,91,11/28/1989 0:00,2/27/1990 0:00
CO02,Spring,1990,92,100,98,0.387,0.052,0.036,0.11,0.374,1.393,0.152,0.993,-9,5.359,9.318,8899.1,50.115,12,91,2/27/1990 0:00,5/29/1990 0:00
CO02,Summer,1990,29,100,16,0.083,0.014,0.008,0.018,0.23,0.839,0.091,0.719,-9,4.948,8.291,3353.8,28.246,2,98,5/29/1990 0:00,9/4/1990 0:00
CO02,Fall,1990,31,100,7,0.194,0.048,0.02,0.069,0.476,2.229,0.27,1.068,-9,5.747,11.253,60,29.758,2,91,9/4/1990 0:00,12/4/1990 0:00
CO02,Winter,1991,41,100,37,0.129,0.022,0.018,0.207,0.037,0.717,0.137,0.347,-9,5.558,4.543,624.1,66.126,4,85,12/4/1990 0:00,2/27/1991 0:00
CO02,Spring,1991,7,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,52.463,0,97,2/27/1991 0:00,6/4/1991 0:00
CO02,Summer,1991,62,100,54,0.136,0.019,0.03,0.03,0.265,1.039,0.061,0.857,-9,4.954,9.353,8337.3,21.77,8,91,6/4/1991 0:00,9/3/1991 0:00
CO02,Fall,1991,100,100,100,0.057,0.009,0.01,0.025,0.058,0.543,0.054,0.412,-9,5.091,5.355,5791.6,27.214,10,90,9/3/1991 0:00,12/2/1991 0:00
CO02,Winter,1992,77,100,88,0.231,0.042,0.052,0.1,0.045,1.213,0.148,0.711,-9,5.69,7.842,1106,25.989,8,92,12/2/1991 0:00,3/3/1992 0:00
CO02,Spring,1992,54,100,54,0.135,0.016,0.012,0.051,0.181,0.879,0.06,0.674,-9,5.055,7.442,4062.2,36.178,6,91,3/3/1992 0:00,6/2/1992 0:00
CO02,Summer,1992,92,100,99,0.225,0.029,0.044,0.081,0.241,1.196,0.12,0.991,-9,4.902,10.769,12467.4,19.909,12,91,6/2/1992 0:00,9/1/1992 0:00
CO02,Fall,1992,77,100,82,0.183,0.022,0.028,0.107,0.027,0.814,0.09,0.479,-9,5.188,6.889,2162.9,54.839,9,91,9/1/1992 0:00,12/1/1992 0:00
CO02,Winter,1993,85,100,98,0.198,0.026,0.024,0.106,0.061,1.348,0.097,0.659,-9,5.057,8.494,3681.2,44.653,11,91,12/1/1992 0:00,3/2/1993 0:00
CO02,Spring,1993,46,100,42,0.077,0.014,0.011,0.033,0.147,0.91,0.043,0.747,-9,4.83,9.308,4750.4,71.211,6,91,3/2/1993 0:00,6/1/1993 0:00
CO02,Summer,1993,69,100,93,0.233,0.03,0.03,0.071,0.201,1.487,0.104,1.102,-9,5.097,9.74,4829.7,16.929,9,91,6/1/1993 0:00,8/31/1993 0:00
CO02,Fall,1993,100,100,100,0.092,0.012,0.013,0.061,0.072,0.634,0.055,0.529,-9,5.17,5.391,8037.4,43.881,11,91,8/31/1993 0:00,11/30/1993 0:00
CO02,Winter,1994,85,100,85,0.083,0.01,0.017,0.042,0.046,0.618,0.056,0.312,-9,5.034,5.352,4873.1,85.099,10,91,11/30/1993 0:00,3/1/1994 0:00
CO02,Spring,1994,92,100,96,0.167,0.019,0.013,0.053,0.235,0.962,0.052,0.654,-9,5.123,8.098,8853.9,39.879,11,91,3/1/1994 0:00,5/31/1994 0:00
CO02,Summer,1994,92,100,97,0.187,0.023,0.039,0.045,0.259,1.364,0.101,0.929,-9,4.733,12.888,9734.5,13.462,10,91,5/31/1994 0:00,8/30/1994 0:00
CO02,Fall,1994,85,100,82,0.062,0.007,0.012,0.036,0.141,0.901,0.061,0.615,-9,4.77,9.391,5921.8,32.842,11,91,8/30/1994 0:00,11/29/1994 0:00
CO02,Winter,1995,92,100,100,0.086,0.012,0.015,0.096,0.078,0.762,0.127,0.448,-9,4.912,7.384,1474.2,66.457,11,91,11/29/1994 0:00,2/28/1995 0:00
CO02,Spring,1995,62,100,55,0.16,0.021,0.011,0.078,0.225,1.101,0.091,0.589,-9,5.032,7.798,5798.7,96.123,8,91,2/28/1995 0:00,5/30/1995 0:00
CO02,Summer,1995,77,100,52,0.22,0.026,0.041,0.052,0.214,1.524,0.089,0.947,-9,4.649,14.138,7199.9,21.047,10,91,5/30/1995 0:00,8/29/1995 0:00
CO02,Fall,1995,85,100,96,0.325,0.039,0.05,0.061,0.069,0.745,0.089,0.535,-9,5.067,7.231,5772.1,46.328,11,91,8/29/1995 0:00,11/28/1995 0:00
CO02,Winter,1996,69,100,77,0.087,0.012,0.024,0.071,0.056,0.42,0.075,0.255,-9,5.157,4.598,1907.5,113.311,9,91,11/28/1995 0:00,2/27/1996 0:00
CO02,Spring,1996,79,100,86,0.534,0.058,0.052,0.21,0.274,1.333,0.173,0.921,-9,5.361,9.17,7113.5,59.896,11,98,2/27/1996 0:00,6/4/1996 0:00
CO02,Summer,1996,77,100,90,0.508,0.043,0.065,0.121,0.515,1.629,0.168,1.169,-9,4.894,13.41,6863.6,12.661,9,91,6/4/1996 0:00,9/3/1996 0:00
CO02,Fall,1996,92,100,99,0.118,0.016,0.023,0.042,0.14,0.98,0.067,0.568,-9,4.872,8.609,8373.7,82.938,11,91,9/3/1996 0:00,12/3/1996 0:00
CO02,Winter,1997,92,100,92,0.085,0.01,0.015,0.038,0.028,0.516,0.052,0.26,-9,5.093,4.855,6256.3,102.368,12,91,12/3/1996 0:00,3/4/1997 0:00
CO02,Spring,1997,54,100,40,0.259,0.024,0.019,0.073,0.316,1.031,0.066,0.66,-9,5.336,7.116,5729.1,71.222,7,91,3/4/1997 0:00,6/3/1997 0:00
CO02,Summer,1997,62,100,71,0.11,0.014,0.023,0.031,0.254,1.078,0.059,0.732,-9,4.877,9.551,9933.8,20.421,6,91,6/3/1997 0:00,9/2/1997 0:00
CO02,Fall,1997,62,100,72,0.17,0.024,0.039,0.072,0.096,1.26,0.088,0.583,-9,4.861,9.398,2675.1,49.124,7,91,9/2/1997 0:00,12/2/1997 0:00
CO02,Winter,1998,69,100,54,0.058,0.009,0.016,0.019,0.061,0.56,0.044,0.298,-9,5.049,5.571,1636.7,65.13,9,91,12/2/1997 0:00,3/3/1998 0:00
CO02,Spring,1998,69,100,82,0.192,0.017,0.008,0.025,0.156,0.821,0.038,0.445,-9,5.221,6.022,6188.699,42.818,7,91,3/3/1998 0:00,6/2/1998 0:00
CO02,Summer,1998,92,100,100,0.25,0.029,0.06,0.035,0.198,1.384,0.079,0.794,-9,4.834,11.206,15006.1,31.267,11,91,6/2/1998 0:00,9/1/1998 0:00
CO02,Fall,1998,69,100,85,0.09,0.01,0.017,0.014,0.161,0.787,0.039,0.623,-9,4.946,7.699,4424,37.44,7,91,9/1/1998 0:00,12/1/1998 0:00
CO02,Winter,1999,100,100,100,0.147,0.017,0.023,0.033,0.048,0.897,0.069,0.448,-9,4.969,7.301,3813.1,86.411,13,91,12/1/1998 0:00,3/2/1999 0:00
CO02,Spring,1999,46,100,35,0.165,0.018,0.008,0.054,0.129,0.87,0.059,0.372,-9,5.268,5.385,5104.5,87.9,6,91,3/2/1999 0:00,6/1/1999 0:00
CO02,Summer,1999,77,100,64,0.082,0.011,0.021,0.016,0.161,0.971,0.044,0.494,-9,4.871,8.777,12140.4,32.055,9,91,6/1/1999 0:00,8/31/1999 0:00
CO02,Fall,1999,62,100,41,0.177,0.018,0.013,0.023,0.184,0.745,0.037,0.428,-9,5.454,4.915,3072.2,31.191,5,91,8/31/1999 0:00,11/30/1999 0:00
CO02,Winter,2000,54,100,40,0.246,0.029,0.092,0.059,0.073,0.882,0.098,0.376,-9,5.268,5.874,2686.5,107.213,7,91,11/30/1999 0:00,2/29/2000 0:00
CO02,Spring,2000,69,100,68,0.382,0.032,0.029,0.064,0.317,1.112,0.077,0.709,-9,5.438,12.015,4124.3,94.996,9,91,2/29/2000 0:00,5/30/2000 0:00
CO02,Summer,2000,100,100,100,0.212,0.024,0.037,0.034,0.273,1.588,0.077,0.776,-9,4.784,11.983,8697.8,14.58,11,91,5/30/2000 0:00,8/29/2000 0:00
CO02,Fall,2000,69,100,98,0.178,0.019,0.014,0.017,0.101,0.845,0.039,0.467,-9,5.027,7.337,5548.3,30.378,8,91,8/29/2000 0:00,11/28/2000 0:00
CO02,Winter,2001,92,100,99,0.178,0.022,0.022,0.052,0.047,0.944,0.051,0.429,-9,4.953,7.692,11595.3,78.105,12,91,11/28/2000 0:00,2/27/2001 0:00
CO02,Spring,2001,85,100,98,0.33,0.036,0.023,0.059,0.258,1.139,0.059,0.642,-9,5.391,7.121,12219.5,80.823,11,91,2/27/2001 0:00,5/29/2001 0:00
CO02,Summer,2001,54,100,68,0.2,0.02,0.03,0.026,0.474,1.887,0.066,0.939,-9,4.862,12.658,8357.1,22.89,7,91,5/29/2001 0:00,8/28/2001 0:00
CO02,Fall,2001,85,100,90,0.491,0.064,0.074,0.049,0.148,1.092,0.088,0.695,-9,5.375,7.652,4171,37.897,10,91,8/28/2001 0:00,11/27/2001 0:00
CO02,Winter,2002,85,100,89,0.145,0.016,0.025,0.027,0.062,1.058,0.051,0.278,-9,4.997,7.122,6095.3,95.767,11,91,11/27/2001 0:00,2/26/2002 0:00
CO02,Spring,2002,31,100,14,0.519,0.047,0.027,0.048,0.287,1.252,0.066,0.553,-9,6.041,7.304,3380.1,48.082,3,91,2/26/2002 0:00,5/28/2002 0:00
CO02,Summer,2002,50,100,70,0.515,0.05,0.055,0.052,0.869,3.09,0.117,1.511,-9,4.935,18.377,5334,14.719,6,98,5/28/2002 0:00,9/3/2002 0:00
CO02,Fall,2002,92,100,97,0.157,0.018,0.025,0.021,0.171,1.173,0.039,0.407,-9,5.019,7.947,8457.2,43.205,10,91,9/3/2002 0:00,12/3/2002 0:00
CO02,Winter,2003,92,100,98,0.211,0.026,0.03,0.025,0.117,1.11,0.05,0.396,-9,5.038,7.451,5523.1,63.525,11,84,12/3/2002 0:00,2/25/2003 0:00
CO02,Spring,2003,36,100,66,0.898,0.065,0.03,0.081,0.143,1.109,0.167,0.566,-9,5.541,9.146,4596.1,83.135,5,98,2/25/2003 0:00,6/3/2003 0:00
CO02,Summer,2003,54,100,53,0.165,0.019,0.019,0.012,0.378,1.466,0.054,0.562,-9,5.008,9.242,5916.1,19.431,5,91,6/3/2003 0:00,9/2/2003 0:00
CO02,Fall,2003,85,100,99,0.318,0.051,0.103,0.023,0.089,1.072,0.062,0.413,-9,5.063,8.032,5341.1,32.933,9,91,9/2/2003 0:00,12/2/2003 0:00
CO02,Winter,2004,100,100,100,0.231,0.024,0.041,0.027,0.138,0.929,0.048,0.35,-9,5.076,7.131,4851.9,63.678,13,91,12/2/2003 0:00,3/2/2004 0:00
CO02,Spring,2004,62,100,62,0.204,0.021,0.022,0.039,0.337,1.082,0.045,0.66,-9,5.368,7.202,9019.1,76.652,7,91,3/2/2004 0:00,6/1/2004 0:00
CO02,Summer,2004,23,100,31,0.054,0.006,0.02,0.01,0.205,0.787,0.032,0.426,-9,4.957,7.275,4866,26.772,2,91,6/1/2004 0:00,8/31/2004 0:00
CO02,Fall,2004,77,100,87,0.235,0.028,0.032,0.026,0.28,1.518,0.065,0.743,-9,4.959,9.965,6099.5,21.812,10,91,8/31/2004 0:00,11/30/2004 0:00
CO02,Winter,2005,84,100,96,0.12,0.015,0.022,0.014,0.068,0.772,0.031,0.254,-9,5.06,5.992,9830.8,55.539,11,91,11/30/2004 0:00,3/1/2005 0:00
CO02,Spring,2005,92,100,94,0.375,0.04,0.025,0.117,0.225,1.139,0.087,0.666,-9,5.469,7.196,13458.8,42.071,10,91,3/1/2005 0:00,5/31/2005 0:00
CO02,Summer,2005,23,100,43,0.277,0.033,0.063,0.064,0.262,1.648,0.104,0.815,-9,4.944,11.221,1378.4,21.222,2,91,5/31/2005 0:00,8/30/2005 0:00
CO02,Fall,2005,78,100,89,0.126,0.014,0.028,0.019,0.076,0.496,0.039,0.35,-9,5.195,5.147,3377,50.711,9,91,8/30/2005 0:00,11/29/2005 0:00
CO02,Winter,2006,69,100,71,0.178,0.02,0.027,0.026,0.067,0.856,0.043,0.344,-9,5.028,6.979,2020.8,95.816,8,91,11/29/2005 0:00,2/28/2006 0:00
CO02,Spring,2006,77,100,91,0.179,0.017,0.017,0.027,0.133,0.714,0.038,0.357,-9,5.288,5.498,3819.7,59.616,10,91,2/28/2006 0:00,5/30/2006 0:00
CO02,Summer,2006,77,100,94,0.17,0.018,0.035,0.02,0.304,1.302,0.049,0.609,-9,4.951,9.168,11840,22.962,9,91,5/30/2006 0:00,8/29/2006 0:00
CO02,Fall,2006,92,100,90,0.143,0.015,0.025,0.027,0.307,1.045,0.036,0.477,-9,5.291,6.455,7979,50.876,12,91,8/29/2006 0:00,11/28/2006 0:00
CO02,Winter,2007,85,92,92,0.194,0.025,0.034,0.025,0.076,0.961,0.044,0.33,-9,5.016,6.809,5520.9,33.236,11,91,11/28/2006 0:00,2/27/2007 0:00
CO02,Spring,2007,54,100,72,0.298,0.034,0.022,0.044,0.358,1.197,0.061,0.682,-9,5.456,6.902,4417.2,34.011,6,91,2/27/2007 0:00,5/29/2007 0:00
CO02,Summer,2007,46,100,67,0.145,0.016,0.028,0.015,0.473,1.719,0.051,0.702,-9,4.866,10.652,8030.9,23.053,5,91,5/29/2007 0:00,8/28/2007 0:00
CO02,Fall,2007,77,100,67,0.335,0.028,0.019,0.031,0.171,0.866,0.051,0.426,-9,5.279,6.318,4914.3,21.946,9,91,8/28/2007 0:00,11/27/2007 0:00
CO02,Winter,2008,62,100,48,0.095,0.009,0.017,0.031,0.104,0.876,0.05,0.213,-9,5.037,6.132,838.2,84.911,6,91,11/27/2007 0:00,2/26/2008 0:00
CO02,Spring,2008,64,100,56,0.358,0.042,0.025,0.101,0.249,0.595,0.083,0.483,-9,5.801,6.018,5307.9,24.325,8,98,2/26/2008 0:00,6/3/2008 0:00
CO02,Summer,2008,85,100,99,0.199,0.02,0.023,0.021,0.268,0.965,0.046,0.476,-9,5.229,6.455,12333.3,23.631,9,91,6/3/2008 0:00,9/2/2008 0:00
CO02,Fall,2008,78,100,91,0.133,0.019,0.034,0.023,0.119,0.603,0.047,0.432,-9,5.114,6.468,3823.5,23.845,9,91,9/2/2008 0:00,12/2/2008 0:00
CO02,Winter,2009,100,100,100,0.166,0.02,0.028,0.031,0.059,0.48,0.043,0.208,-9,5.344,4.016,2900.1,74.049,13,91,12/2/2008 0:00,3/3/2009 0:00
CO02,Spring,2009,60,100,59,2.216,0.072,0.052,0.076,0.185,0.607,0.07,0.878,-9,5.839,14.586,6149.3,54.737,7,91,3/3/2009 0:00,6/2/2009 0:00
CO02,Summer,2009,85,100,94,0.191,0.022,0.025,0.028,0.16,0.861,0.069,0.529,-9,5.005,7.343,7526.7,13.868,11,91,6/2/2009 0:00,9/1/2009 0:00
CO02,Fall,2009,85,100,67,0.588,0.047,0.048,0.062,0.119,0.859,0.083,0.442,-9,5.397,7.342,3566.2,39.942,10,91,9/1/2009 0:00,12/1/2009 0:00
CO02,Winter,2010,69,85,95,0.103,0.011,0.018,0.019,0.096,0.746,0.046,0.18,-9,5.024,6.488,1149.5,59.24,9,91,12/1/2009 0:00,3/2/2010 0:00
CO02,Spring,2010,92,100,97,0.828,0.05,0.035,0.054,0.146,0.587,0.06,0.422,-9,5.601,7.922,8982.3,74.041,11,91,3/2/2010 0:00,6/1/2010 0:00
CO02,Summer,2010,77,100,96,0.153,0.016,0.026,0.025,0.172,0.667,0.052,0.335,-9,5.177,5.729,10025.5,18.948,8,91,6/1/2010 0:00,8/31/2010 0:00
CO02,Fall,2010,77,100,78,0.176,0.017,0.026,0.017,0.083,0.525,0.039,0.292,-9,5.344,4.331,4823,56.243,9,91,8/31/2010 0:00,11/30/2010 0:00
CO02,Winter,2011,92,100,88,0.109,0.013,0.016,0.02,0.075,0.654,0.04,0.224,-9,5.041,5.704,3097.4,96.416,11,91,11/30/2010 0:00,3/1/2011 0:00
CO02,Spring,2011,100,100,100,0.218,0.026,0.018,0.056,0.165,0.527,0.066,0.36,-9,5.651,4.332,12219.1,74.057,13,91,3/1/2011 0:00,5/31/2011 0:00
CO02,Summer,2011,77,100,65,0.119,0.014,0.018,0.019,0.179,0.838,0.045,0.432,-9,5.027,6.709,8365.5,26.452,8,91,5/31/2011 0:00,8/30/2011 0:00
CO02,Fall,2011,85,92,90,0.128,0.014,0.017,0.022,0.126,0.504,0.031,0.264,-9,5.398,3.896,5538.8,34.018,9,91,8/30/2011 0:00,11/29/2011 0:00
CO02,Winter,2012,54,92,46,0.09,0.011,0.012,0.025,0.098,0.458,0.033,0.201,-9,5.293,4.044,1888.6,67.984,6,91,11/29/2011 0:00,2/28/2012 0:00
CO02,Spring,2012,76,100,63,0.33,0.036,0.029,0.056,0.343,0.875,0.081,0.583,-9,5.911,6.015,4200.4,25.021,8,91,2/28/2012 0:00,5/29/2012 0:00
CO02,Summer,2012,31,100,8,0.339,0.038,0.069,0.035,0.571,1.577,0.096,0.731,-9,5.523,9.081,1009,25.575,2,91,5/29/2012 0:00,8/28/2012 0:00
CO02,Fall,2012,60,100,51,0.26,0.031,0.026,0.036,0.231,0.766,0.049,0.545,-9,5.514,5.658,2900.2,27.813,5,91,8/28/2012 0:00,11/27/2012 0:00
CO02,Winter,2013,77,100,79,0.047,0.005,0.006,0.01,0.051,0.242,0.017,0.116,-9,5.354,2.914,2183.9,37.534,9,91,11/27/2012 0:00,2/26/2013 0:00
CO02,Spring,2013,31,92,27,0.726,0.079,0.042,0.093,0.644,1.433,0.1,0.79,-9,6.491,10.569,3210.5,25.943,4,91,2/26/2013 0:00,5/28/2013 0:00
CO02,Summer,2013,93,100,99,0.24,0.029,0.042,0.028,0.375,0.968,0.069,0.464,-9,5.436,6.767,12253.4,21.214,12,98,5/28/2013 0:00,9/3/2013 0:00
CO02,Fall,2013,85,100,79,0.11,0.017,0.016,0.022,0.247,0.721,0.028,0.417,-9,5.296,5.694,15794,71.763,10,91,9/3/2013 0:00,12/3/2013 0:00
CO02,Winter,2014,42,100,30,0.085,0.011,0.02,0.016,0.061,0.513,0.033,0.202,-9,5.221,4.639,6186.2,52.777,4,84,12/3/2013 0:00,2/25/2014 0:00
CO02,Spring,2014,14,93,1,0.271,0.029,0.044,0.053,0.571,1.318,0.104,0.6,-9,5.86,7.7,463,52.449,1,98,2/25/2014 0:00,6/3/2014 0:00
CO02,Summer,2014,62,100,68,0.159,0.018,0.028,0.023,0.276,0.721,0.054,0.303,-9,5.378,5.433,7682,18.022,8,91,6/3/2014 0:00,9/2/2014 0:00
CO02,Fall,2014,69,100,57,0.116,0.015,0.016,0.031,0.209,0.49,0.039,0.285,-9,5.547,4.098,7585.6,26.437,8,91,9/2/2014 0:00,12/2/2014 0:00
CO02,Winter,2015,86,86,100,0.051,0.006,0.007,0.012,0.092,0.386,0.02,0.164,-9,5.163,4.121,10094,45.034,11,91,12/2/2014 0:00,3/3/2015 0:00
CO02,Spring,2015,38,85,51,0.168,0.018,0.013,0.035,0.165,0.37,0.035,0.245,-9,5.552,3.957,5287.4,50.714,5,91,3/3/2015 0:00,6/2/2015 0:00
CO02,Summer,2015,84,92,100,0.136,0.018,0.029,0.023,0.277,0.827,0.054,0.357,-9,5.224,6.379,10550.3,15.782,10,90,6/2/2015 0:00,8/31/2015 0:00
CO02,Fall,2015,100,100,100,0.131,0.016,0.019,0.034,0.147,0.453,0.049,0.216,-9,5.497,3.919,8190.1,54.889,11,92,8/31/2015 0:00,12/1/2015 0:00
CO02,Winter,2016,84,92,90,0.171,0.02,0.02,0.041,0.109,0.478,0.037,0.198,-9,5.47,3.803,7233.5,24.436,11,91,12/1/2015 0:00,3/1/2016 0:00
CO02,Spring,2016,38,77,54,0.216,0.023,0.025,0.025,0.179,0.393,0.033,0.194,-9,5.858,3.658,6935.2,48.331,4,91,3/1/2016 0:00,5/31/2016 0:00
CO02,Summer,2016,85,100,94,0.246,0.032,0.059,0.036,0.452,1.053,0.084,0.456,-9,5.523,7.148,8605.6,16.128,8,91,5/31/2016 0:00,8/30/2016 0:00
CO02,Fall,2016,77,92,95,0.097,0.011,0.015,0.014,0.173,0.494,0.029,0.18,-9,5.455,3.783,5021.4,12.838,9,91,8/30/2016 0:00,11/29/2016 0:00
CO02,Winter,2017,46,54,81,0.102,0.011,0.009,0.022,0.086,0.369,0.029,0.183,-9,5.279,3.559,9113.3,50.42,6,91,11/29/2016 0:00,2/28/2017 0:00
CO02,Spring,2017,62,62,100,0.23,0.023,0.016,0.033,0.239,0.57,0.051,0.333,-9,5.79,4.335,6915.7,14.165,6,91,2/28/2017 0:00,5/30/2017 0:00
CO02,Summer,2017,85,100,95,0.222,0.024,0.031,0.027,0.425,0.933,0.07,0.388,-9,5.447,6.42,10048.8,18.128,10,91,5/30/2017 0:00,8/29/2017 0:00
CO02,Fall,2017,92,100,99,0.211,0.028,0.052,0.025,0.143,0.55,0.064,0.324,-9,5.531,4.65,7784.4,35.484,11,91,8/29/2017 0:00,11/28/2017 0:00
CO02,Winter,2018,46,92,42,0.244,0.026,0.025,0.046,0.11,0.506,0.065,0.194,-9,5.409,4.709,1232.8,87.071,5,91,11/28/2017 0:00,2/27/2018 0:00
CO02,Spring,2018,69,100,58,0.325,0.031,0.023,0.044,0.26,0.666,0.065,0.329,-9,6.013,4.845,8512.4,64.534,9,91,2/27/2018 0:00,5/29/2018 0:00
CO02,Summer,2018,77,100,94,0.194,0.02,0.042,0.022,0.4,0.786,0.053,0.304,-9,5.543,5.592,7222.8,12.642,8,91,5/29/2018 0:00,8/28/2018 0:00
CO02,Fall,2018,93,100,99,0.093,0.011,0.013,0.018,0.15,0.466,0.033,0.177,-9,5.356,3.768,8861.9,18.815,12,98,8/28/2018 0:00,12/4/2018 0:00
CO02,Winter,2019,95,95,100,0.127,0.015,0.016,0.066,0.095,0.558,0.11,0.207,-9,5.169,4.862,5096.7,25.139,11,88,12/4/2018 0:00,2/26/2019 0:00
CO02,Spring,2019,94,94,100,0.128,0.014,0.013,0.025,0.193,0.583,0.045,0.247,-9,5.439,4.118,12075.2,56.187,13,97,2/26/2019 0:00,5/28/2019 0:00
CO02,Summer,2019,85,100,92,0.238,0.028,0.041,0.036,0.386,0.898,0.081,0.397,-9,5.495,6.228,8417.9,14.669,9,91,5/28/2019 0:00,9/3/2019 0:00
CO02,Fall,2019,85,100,100,0.238,0.028,0.029,0.018,0.116,0.348,0.039,0.211,-9,5.599,3.75,6361.4,42.043,8,91,9/3/2019 0:00,12/3/2019 0:00
