LTER_site,local_site,date,snowfence,block,snow_trt,depth_cm,notes
NWT,itex,3/18/2009,SW,1,P,70,
NWT,itex,3/18/2009,SE,3,P,80,
NWT,itex,3/18/2009,N,2,P,90,
NWT,itex,3/18/2009,SW,1,X,0,
NWT,itex,3/18/2009,SE,3,X,0,
NWT,itex,3/18/2009,N,2,X,10,
NWT,itex,4/28/2009,SW,1,P,80,
NWT,itex,4/28/2009,SE,3,P,100,
NWT,itex,4/28/2009,N,2,P,100,
NWT,itex,4/28/2009,SW,1,X,40,
NWT,itex,4/28/2009,SE,3,X,70,
NWT,itex,4/28/2009,N,2,X,70,
NWT,itex,11/17/2009,SW,1,P,80,
NWT,itex,11/17/2009,SE,3,P,80,
NWT,itex,11/17/2009,N,2,P,80,
NWT,itex,11/17/2009,SW,1,X,20,
NWT,itex,11/17/2009,SE,3,X,20,
NWT,itex,11/17/2009,N,2,X,20,
NWT,itex,12/1/2009,SW,1,P,80,
NWT,itex,12/1/2009,SE,3,P,80,
NWT,itex,12/1/2009,N,2,P,70,
NWT,itex,12/1/2009,SW,1,X,20,
NWT,itex,12/1/2009,SE,3,X,10,
NWT,itex,12/1/2009,N,2,X,40,
NWT,itex,1/12/2010,SW,1,P,80,
NWT,itex,1/12/2010,SE,3,P,70,
NWT,itex,1/12/2010,N,2,P,70,
NWT,itex,1/12/2010,SW,1,X,20,
NWT,itex,1/12/2010,SE,3,X,0,
NWT,itex,1/12/2010,N,2,X,10,
NWT,itex,2/2/2010,SW,1,P,80,
NWT,itex,2/2/2010,SE,3,P,70,
NWT,itex,2/2/2010,N,2,P,80,
NWT,itex,2/2/2010,SW,1,X,10,
NWT,itex,2/2/2010,SE,3,X,0,
NWT,itex,2/2/2010,N,2,X,5,
NWT,itex,2/16/2010,SW,1,P,80,
NWT,itex,2/16/2010,SE,3,P,80,
NWT,itex,2/16/2010,N,2,P,80,
NWT,itex,2/16/2010,SW,1,X,20,
NWT,itex,2/16/2010,SE,3,X,20,
NWT,itex,2/16/2010,N,2,X,20,
NWT,itex,3/2/2010,SW,1,P,90,
NWT,itex,3/2/2010,SE,3,P,70,
NWT,itex,3/2/2010,N,2,P,80,
NWT,itex,3/2/2010,SW,1,X,40,
NWT,itex,3/2/2010,SE,3,X,40,
NWT,itex,3/2/2010,N,2,X,30,
NWT,itex,3/9/2010,SW,1,P,90,
NWT,itex,3/9/2010,SE,3,P,70,
NWT,itex,3/9/2010,N,2,P,80,
NWT,itex,3/9/2010,SW,1,X,40,
NWT,itex,3/9/2010,SE,3,X,30,
NWT,itex,3/9/2010,N,2,X,40,
NWT,itex,3/16/2010,SW,1,P,100,
NWT,itex,3/16/2010,SE,3,P,70,
NWT,itex,3/16/2010,N,2,P,90,
NWT,itex,3/16/2010,SW,1,X,40,
NWT,itex,3/16/2010,SE,3,X,30,
NWT,itex,3/16/2010,N,2,X,40,
NWT,itex,4/15/2010,SW,1,P,80,
NWT,itex,4/15/2010,SE,3,P,70,
NWT,itex,4/15/2010,N,2,P,70,
NWT,itex,4/15/2010,SW,1,X,60,
NWT,itex,4/15/2010,SE,3,X,40,
NWT,itex,4/15/2010,N,2,X,50,
NWT,itex,4/20/2010,SW,1,P,80,
NWT,itex,4/20/2010,SE,3,P,70,
NWT,itex,4/20/2010,N,2,P,70,
NWT,itex,4/20/2010,SW,1,X,50,
NWT,itex,4/20/2010,SE,3,X,40,
NWT,itex,4/20/2010,N,2,X,40,
NWT,itex,4/27/2010,SW,1,P,80,
NWT,itex,4/27/2010,SE,3,P,80,
NWT,itex,4/27/2010,N,2,P,80,
NWT,itex,4/27/2010,SW,1,X,80,
NWT,itex,4/27/2010,SE,3,X,80,
NWT,itex,4/27/2010,N,2,X,80,
NWT,itex,5/18/2010,SW,1,P,100,
NWT,itex,5/18/2010,SE,3,P,100,
NWT,itex,5/18/2010,N,2,P,110,
NWT,itex,5/18/2010,SW,1,X,100,
NWT,itex,5/18/2010,SE,3,X,100,
NWT,itex,5/18/2010,N,2,X,110,
NWT,itex,5/25/2010,SW,1,P,60,
NWT,itex,5/25/2010,SE,3,P,60,
NWT,itex,5/25/2010,N,2,P,100,
NWT,itex,5/25/2010,SW,1,X,70,
NWT,itex,5/25/2010,SE,3,X,70,
NWT,itex,5/25/2010,N,2,X,100,
NWT,itex,6/1/2010,SW,1,P,20,
NWT,itex,6/1/2010,SE,3,P,0,
NWT,itex,6/1/2010,N,2,P,50,
NWT,itex,6/1/2010,SW,1,X,40,
NWT,itex,6/1/2010,SE,3,X,10,
NWT,itex,6/1/2010,N,2,X,120,
NWT,itex,11/23/2010,SW,1,P,90,
NWT,itex,11/23/2010,SE,3,P,100,
NWT,itex,11/23/2010,N,2,P,120,
NWT,itex,11/23/2010,SW,1,X,20,
NWT,itex,11/23/2010,SE,3,X,40,
NWT,itex,11/23/2010,N,2,X,40,
NWT,itex,12/14/2010,SW,1,P,100,
NWT,itex,12/14/2010,SE,3,P,90,
NWT,itex,12/14/2010,N,2,P,20,
NWT,itex,12/14/2010,SW,1,X,20,
NWT,itex,12/14/2010,SE,3,X,40,
NWT,itex,12/14/2010,N,2,X,40,
NWT,itex,1/24/2011,SW,1,P,100,
NWT,itex,1/24/2011,SE,3,P,90,
NWT,itex,1/24/2011,N,2,P,100,
NWT,itex,1/24/2011,SW,1,X,999,
NWT,itex,1/24/2011,SE,3,X,999,
NWT,itex,1/24/2011,N,2,X,999,
NWT,itex,2/1/2011,SW,1,P,120,
NWT,itex,2/1/2011,SE,3,P,100,
NWT,itex,2/1/2011,N,2,P,120,
NWT,itex,2/1/2011,SW,1,X,80,
NWT,itex,2/1/2011,SE,3,X,80,
NWT,itex,2/1/2011,N,2,X,70,
NWT,itex,2/22/2011,SW,1,P,110,
NWT,itex,2/22/2011,SE,3,P,90,
NWT,itex,2/22/2011,N,2,P,120,
NWT,itex,2/22/2011,SW,1,X,60,
NWT,itex,2/22/2011,SE,3,X,60,
NWT,itex,2/22/2011,N,2,X,60,
NWT,itex,3/11/2011,SW,1,P,100,
NWT,itex,3/11/2011,SE,3,P,90,
NWT,itex,3/11/2011,N,2,P,90,
NWT,itex,3/11/2011,SW,1,X,110,
NWT,itex,3/11/2011,SE,3,X,110,
NWT,itex,3/11/2011,N,2,X,110,
NWT,itex,3/18/2011,SW,1,P,120,
NWT,itex,3/18/2011,SE,3,P,100,
NWT,itex,3/18/2011,N,2,P,120,
NWT,itex,3/18/2011,SW,1,X,80,
NWT,itex,3/18/2011,SE,3,X,70,
NWT,itex,3/18/2011,N,2,X,60,
NWT,itex,4/13/2011,SW,1,X,110,
NWT,itex,4/13/2011,SE,3,X,90,
NWT,itex,4/13/2011,N,2,X,110,
NWT,itex,4/13/2011,SW,1,P,140,
NWT,itex,4/13/2011,SE,3,P,120,
NWT,itex,4/13/2011,N,2,P,110,
NWT,itex,5/3/2011,SW,1,P,,snowfence buried
NWT,itex,5/3/2011,SE,3,P,,snowfence buried
NWT,itex,5/3/2011,N,2,P,,snowfence buried
NWT,itex,5/3/2011,SW,1,X,,snowfence buried
NWT,itex,5/3/2011,SE,3,X,,snowfence buried
NWT,itex,5/3/2011,N,2,X,,snowfence buried
NWT,itex,5/17/2011,SW,1,P,,snowfence buried
NWT,itex,5/17/2011,SE,3,P,,snowfence buried
NWT,itex,5/17/2011,N,2,P,,snowfence buried
NWT,itex,5/17/2011,SW,1,X,,snowfence buried
NWT,itex,5/17/2011,SE,3,X,,snowfence buried
NWT,itex,5/17/2011,N,2,X,,snowfence buried
NWT,itex,6/7/2011,SW,1,P,>150,
NWT,itex,6/7/2011,SE,3,P,100,
NWT,itex,6/7/2011,N,2,P,130,
NWT,itex,6/7/2011,SW,1,X,>150,
NWT,itex,6/7/2011,SE,3,X,100,
NWT,itex,6/7/2011,N,2,X,120,
NWT,itex,12/13/2011,SW,1,P,70,
NWT,itex,12/13/2011,SE,3,P,70,
NWT,itex,12/13/2011,N,2,P,70,
NWT,itex,12/13/2011,SW,1,X,20,
NWT,itex,12/13/2011,SE,3,X,10,
NWT,itex,12/13/2011,N,2,X,10,
NWT,itex,1/3/2012,SW,1,P,80,data sheet calls this snowfence 'NW'
NWT,itex,1/3/2012,SE,3,P,60,data sheet calls this snowfence 'S'
NWT,itex,1/3/2012,N,2,P,80,data sheet calls this snowfence 'NE'
NWT,itex,1/3/2012,SW,1,X,10,data sheet calls this snowfence 'NW'
NWT,itex,1/3/2012,SE,3,X,0,data sheet calls this snowfence 'S'
NWT,itex,1/3/2012,N,2,X,0,data sheet calls this snowfence 'NE'
NWT,itex,2/7/2012,SW,1,P,80,
NWT,itex,2/7/2012,SE,3,P,80,
NWT,itex,2/7/2012,N,2,P,100,
NWT,itex,2/7/2012,SW,1,X,60,
NWT,itex,2/7/2012,SE,3,X,40,
NWT,itex,2/7/2012,N,2,X,40,
NWT,itex,3/13/2012,SW,1,P,50,
NWT,itex,3/13/2012,SE,3,P,50,
NWT,itex,3/13/2012,N,2,P,60,
NWT,itex,3/13/2012,SW,1,X,0,
NWT,itex,3/13/2012,SE,3,X,0,
NWT,itex,3/13/2012,N,2,X,0,
NWT,itex,4/27/2012,SW,1,P,60,
NWT,itex,4/27/2012,SE,3,P,40,
NWT,itex,4/27/2012,N,2,P,50,
NWT,itex,4/27/2012,SW,1,X,0,
NWT,itex,4/27/2012,SE,3,X,0,
NWT,itex,4/27/2012,N,2,X,0,
NWT,itex,5/15/2012,SW,1,P,,"data sheet says, ""NW=0, SW=0, NE=80, SE=60"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/15/2012,SE,3,P,,"data sheet says, ""NW=0, SW=0, NE=80, SE=60"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/15/2012,N,2,P,,"data sheet says, ""NW=0, SW=0, NE=80, SE=60"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/15/2012,SW,1,X,,"data sheet says, ""NW=0, SW=0, NE=80, SE=60"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/15/2012,SE,3,X,,"data sheet says, ""NW=0, SW=0, NE=80, SE=60"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/15/2012,N,2,X,,"data sheet says, ""NW=0, SW=0, NE=80, SE=60"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/29/2012,SW,1,P,,"data sheet says, ""NW=0, SW=0, NE=20 cm, SE=30 cm"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/29/2012,SE,3,P,,"data sheet says, ""NW=0, SW=0, NE=20 cm, SE=30 cm"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/29/2012,N,2,P,,"data sheet says, ""NW=0, SW=0, NE=20 cm, SE=30 cm"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/29/2012,SW,1,X,,"data sheet says, ""NW=0, SW=0, NE=20 cm, SE=30 cm"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/29/2012,SE,3,X,,"data sheet says, ""NW=0, SW=0, NE=20 cm, SE=30 cm"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,5/29/2012,N,2,X,,"data sheet says, ""NW=0, SW=0, NE=20 cm, SE=30 cm"". Not sure how to interpret since there should be 3 snowfences, each w/ 2 numbers, NOT four snowfences each w/ 1 number…"
NWT,itex,11/6/2012,SW,1,P,,data sheet shows just one number for SW: 40
NWT,itex,11/6/2012,SE,3,P,,data sheet shows just one number for SE: 25
NWT,itex,11/6/2012,N,2,P,,data sheet shows just one number for N: 20
NWT,itex,11/6/2012,SW,1,X,,data sheet shows just one number for SW: 40
NWT,itex,11/6/2012,SE,3,X,,data sheet shows just one number for SE: 25
NWT,itex,11/6/2012,N,2,X,,data sheet shows just one number for N: 20
NWT,itex,11/27/2012,SW,1,P,50,
NWT,itex,11/27/2012,SE,3,P,60,
NWT,itex,11/27/2012,N,2,P,70,
NWT,itex,11/27/2012,SW,1,X,0,
NWT,itex,11/27/2012,SE,3,X,0,
NWT,itex,11/27/2012,N,2,X,0,
NWT,itex,1/4/2013,SW,1,P,110,
NWT,itex,1/4/2013,SE,3,P,100,
NWT,itex,1/4/2013,N,2,P,120,
NWT,itex,1/4/2013,SW,1,X,30,
NWT,itex,1/4/2013,SE,3,X,50,
NWT,itex,1/4/2013,N,2,X,80,
NWT,itex,1/16/2013,SW,1,P,130,
NWT,itex,1/16/2013,SE,3,P,100,
NWT,itex,1/16/2013,N,2,P,120,
NWT,itex,1/16/2013,SW,1,X,140,
NWT,itex,1/16/2013,SE,3,X,80,
NWT,itex,1/16/2013,N,2,X,60,
NWT,itex,2/5/2013,SW,1,P,110,
NWT,itex,2/5/2013,SE,3,P,90,
NWT,itex,2/5/2013,N,2,P,100,
NWT,itex,2/5/2013,SW,1,X,0,
NWT,itex,2/5/2013,SE,3,X,60,
NWT,itex,2/5/2013,N,2,X,0,
NWT,itex,2/19/2013,SW,1,P,120,
NWT,itex,2/19/2013,SE,3,P,140,
NWT,itex,2/19/2013,N,2,P,100,
NWT,itex,2/19/2013,SW,1,X,20,
NWT,itex,2/19/2013,SE,3,X,50,
NWT,itex,2/19/2013,N,2,X,20,
NWT,itex,3/15/2013,SW,1,P,110,
NWT,itex,3/15/2013,SE,3,P,120,
NWT,itex,3/15/2013,N,2,P,120,
NWT,itex,3/15/2013,SW,1,X,20,
NWT,itex,3/15/2013,SE,3,X,40,
NWT,itex,3/15/2013,N,2,X,50,
NWT,itex,4/2/2013,SW,1,P,110,
NWT,itex,4/2/2013,SE,3,P,130,
NWT,itex,4/2/2013,N,2,P,120,
NWT,itex,4/2/2013,SW,1,X,20,
NWT,itex,4/2/2013,SE,3,X,50,
NWT,itex,4/2/2013,N,2,X,50,
NWT,itex,4/26/2013,SW,1,P,,snow poles buried?
NWT,itex,4/26/2013,SE,3,P,,snow poles buried?
NWT,itex,4/26/2013,N,2,P,,snow poles buried?
NWT,itex,4/26/2013,SW,1,X,,snow poles buried?
NWT,itex,4/26/2013,SE,3,X,,snow poles buried?
NWT,itex,4/26/2013,N,2,X,,snow poles buried?
NWT,itex,5/14/2013,SW,1,P,210,
NWT,itex,5/14/2013,SE,3,P,200,
NWT,itex,5/14/2013,N,2,P,220,
NWT,itex,5/14/2013,SW,1,X,200,
NWT,itex,5/14/2013,SE,3,X,180,
NWT,itex,5/14/2013,N,2,X,200,
NWT,itex,6/3/2013,SW,1,P,60,
NWT,itex,6/3/2013,SE,3,P,60,
NWT,itex,6/3/2013,N,2,P,80,
NWT,itex,6/3/2013,SW,1,X,30,
NWT,itex,6/3/2013,SE,3,X,30,
NWT,itex,6/3/2013,N,2,X,60,
NWT,itex,6/17/2013,SW,1,P,0,
NWT,itex,6/17/2013,SE,3,P,0,
NWT,itex,6/17/2013,N,2,P,0,
NWT,itex,6/17/2013,SW,1,X,0,
NWT,itex,6/17/2013,SE,3,X,0,
NWT,itex,6/17/2013,N,2,X,0,
NWT,itex,10/29/2013,SW,1,P,80,
NWT,itex,10/29/2013,SE,3,P,70,
NWT,itex,10/29/2013,N,2,P,80,
NWT,itex,10/29/2013,SW,1,X,20,
NWT,itex,10/29/2013,SE,3,X,10,
NWT,itex,10/29/2013,N,2,X,50,
NWT,itex,12/5/2013,SW,1,P,130,
NWT,itex,12/5/2013,SE,3,P,100,
NWT,itex,12/5/2013,N,2,P,120,
NWT,itex,12/5/2013,SW,1,X,40,
NWT,itex,12/5/2013,SE,3,X,50,
NWT,itex,12/5/2013,N,2,X,80,
NWT,itex,12/19/2013,SW,1,P,120,
NWT,itex,12/19/2013,SE,3,P,100,
NWT,itex,12/19/2013,N,2,P,100,
NWT,itex,12/19/2013,SW,1,X,30,
NWT,itex,12/19/2013,SE,3,X,20,
NWT,itex,12/19/2013,N,2,X,40,
NWT,itex,1/21/2014,SW,1,P,50,
NWT,itex,1/21/2014,SE,3,P,80,
NWT,itex,1/21/2014,N,2,P,70,
NWT,itex,1/21/2014,SW,1,X,20,
NWT,itex,1/21/2014,SE,3,X,20,
NWT,itex,1/21/2014,N,2,X,0,
NWT,itex,2/4/2014,SW,1,P,100,kind of unclear from data sheet which fence is which…
NWT,itex,2/4/2014,SE,3,P,110,kind of unclear from data sheet which fence is which…
NWT,itex,2/4/2014,N,2,P,80,kind of unclear from data sheet which fence is which…
NWT,itex,2/4/2014,SW,1,X,50,kind of unclear from data sheet which fence is which…
NWT,itex,2/4/2014,SE,3,X,80,kind of unclear from data sheet which fence is which…
NWT,itex,2/4/2014,N,2,X,40,kind of unclear from data sheet which fence is which…
NWT,itex,2/25/2014,SW,1,P,120,kind of unclear from data sheet which fence is which…
NWT,itex,2/25/2014,SE,3,P,90,kind of unclear from data sheet which fence is which…
NWT,itex,2/25/2014,N,2,P,120,kind of unclear from data sheet which fence is which…
NWT,itex,2/25/2014,SW,1,X,70,kind of unclear from data sheet which fence is which…
NWT,itex,2/25/2014,SE,3,X,60,kind of unclear from data sheet which fence is which…
NWT,itex,2/25/2014,N,2,X,110,kind of unclear from data sheet which fence is which…
NWT,itex,4/21/2014,SW,1,P,110,kind of unclear from data sheet which fence is which…
NWT,itex,4/21/2014,SE,3,P,100,kind of unclear from data sheet which fence is which…
NWT,itex,4/21/2014,N,2,P,95,kind of unclear from data sheet which fence is which…
NWT,itex,4/21/2014,SW,1,X,55,kind of unclear from data sheet which fence is which…
NWT,itex,4/21/2014,SE,3,X,40,kind of unclear from data sheet which fence is which…
NWT,itex,4/21/2014,N,2,X,75,kind of unclear from data sheet which fence is which…
NWT,itex,5/27/2014,SW,1,P,100,"data sheet says, ""N^, fence 1: 50/100, fence 2: 90/180, fence 3: 50/100"" so not sure which fence is which…"
NWT,itex,5/27/2014,SE,3,P,100,"data sheet says, ""N^, fence 1: 50/100, fence 2: 90/180, fence 3: 50/100"" so not sure which fence is which…"
NWT,itex,5/27/2014,N,2,P,180,"data sheet says, ""N^, fence 1: 50/100, fence 2: 90/180, fence 3: 50/100"" so not sure which fence is which…"
NWT,itex,5/27/2014,SW,1,X,50,"data sheet says, ""N^, fence 1: 50/100, fence 2: 90/180, fence 3: 50/100"" so not sure which fence is which…"
NWT,itex,5/27/2014,SE,3,X,50,"data sheet says, ""N^, fence 1: 50/100, fence 2: 90/180, fence 3: 50/100"" so not sure which fence is which…"
NWT,itex,5/27/2014,N,2,X,90,"data sheet says, ""N^, fence 1: 50/100, fence 2: 90/180, fence 3: 50/100"" so not sure which fence is which…"
NWT,itex,6/10/2014,SW,1,P,0,
NWT,itex,6/10/2014,SE,3,P,0,
NWT,itex,6/10/2014,N,2,P,0,
NWT,itex,6/10/2014,SW,1,X,0,
NWT,itex,6/10/2014,SE,3,X,0,
NWT,itex,6/10/2014,N,2,X,0,
NWT,itex,6/24/2014,SW,1,P,0,
NWT,itex,6/24/2014,SE,3,P,0,
NWT,itex,6/24/2014,N,2,P,0,
NWT,itex,6/24/2014,SW,1,X,0,
NWT,itex,6/24/2014,SE,3,X,0,
NWT,itex,6/24/2014,N,2,X,0,
NWT,itex,10/29/2014,SW,1,P,40,
NWT,itex,10/29/2014,SE,3,P,20,
NWT,itex,10/29/2014,N,2,P,60,
NWT,itex,10/29/2014,SW,1,X,5,
NWT,itex,10/29/2014,SE,3,X,0,
NWT,itex,10/29/2014,N,2,X,6,
NWT,itex,12/2/2014,SW,1,P,60,
NWT,itex,12/2/2014,SE,3,P,40,
NWT,itex,12/2/2014,N,2,P,60,
NWT,itex,12/2/2014,SW,1,X,10,
NWT,itex,12/2/2014,SE,3,X,10,
NWT,itex,12/2/2014,N,2,X,20,
NWT,itex,12/29/2014,SW,1,P,60,
NWT,itex,12/29/2014,SE,3,P,80,
NWT,itex,12/29/2014,N,2,P,110,
NWT,itex,12/29/2014,SW,1,X,20,
NWT,itex,12/29/2014,SE,3,X,20,
NWT,itex,12/29/2014,N,2,X,50,
NWT,itex,2/17/2015,SW,1,P,70,
NWT,itex,2/17/2015,SE,3,P,80,
NWT,itex,2/17/2015,N,2,P,100,
NWT,itex,2/17/2015,SW,1,X,30,
NWT,itex,2/17/2015,SE,3,X,30,
NWT,itex,2/17/2015,N,2,X,70,
NWT,itex,3/6/2015,SW,1,P,80,
NWT,itex,3/6/2015,SE,3,P,90,
NWT,itex,3/6/2015,N,2,P,110,
NWT,itex,3/6/2015,SW,1,X,40,
NWT,itex,3/6/2015,SE,3,X,40,
NWT,itex,3/6/2015,N,2,X,50,
NWT,itex,3/17/2015,SW,1,P,80,
NWT,itex,3/17/2015,SE,3,P,80,
NWT,itex,3/17/2015,N,2,P,100,
NWT,itex,3/17/2015,SW,1,X,40,
NWT,itex,3/17/2015,SE,3,X,40,
NWT,itex,3/17/2015,N,2,X,80,
NWT,itex,3/31/2015,SW,1,P,80,
NWT,itex,3/31/2015,SE,3,P,80,
NWT,itex,3/31/2015,N,2,P,80,
NWT,itex,3/31/2015,SW,1,X,30,
NWT,itex,3/31/2015,SE,3,X,40,
NWT,itex,3/31/2015,N,2,X,50,
NWT,itex,4/14/2015,SW,1,P,70,
NWT,itex,4/14/2015,SE,3,P,60,
NWT,itex,4/14/2015,N,2,P,80,
NWT,itex,4/14/2015,SW,1,X,30,
NWT,itex,4/14/2015,SE,3,X,30,
NWT,itex,4/14/2015,N,2,X,40,
NWT,itex,4/30/2015,SW,1,P,100,
NWT,itex,4/30/2015,SE,3,P,100,
NWT,itex,4/30/2015,N,2,P,110,
NWT,itex,4/30/2015,SW,1,X,60,
NWT,itex,4/30/2015,SE,3,X,80,
NWT,itex,4/30/2015,N,2,X,,no data recorded
NWT,itex,5/26/2015,SW,1,P,110,snowfence buried
NWT,itex,5/26/2015,SE,3,P,110,snowfence buried
NWT,itex,5/26/2015,N,2,P,130,snowfence buried
NWT,itex,5/26/2015,SW,1,X,100,snowfence buried
NWT,itex,5/26/2015,SE,3,X,110,snowfence buried
NWT,itex,5/26/2015,N,2,X,110,snowfence buried
NWT,itex,6/9/2015,SW,1,P,30,
NWT,itex,6/9/2015,SE,3,P,40,
NWT,itex,6/9/2015,N,2,P,40,
NWT,itex,6/9/2015,SW,1,X,0,
NWT,itex,6/9/2015,SE,3,X,30,
NWT,itex,6/9/2015,N,2,X,80,
NWT,itex,6/23/2015,SW,1,P,0,
NWT,itex,6/23/2015,SE,3,P,0,
NWT,itex,6/23/2015,N,2,P,0,
NWT,itex,6/23/2015,SW,1,X,0,
NWT,itex,6/23/2015,SE,3,X,0,
NWT,itex,6/23/2015,N,2,X,0,
NWT,itex,11/10/2015,SW,1,P,60,
NWT,itex,11/10/2015,SE,3,P,50,
NWT,itex,11/10/2015,N,2,P,100,
NWT,itex,11/10/2015,SW,1,X,10,
NWT,itex,11/10/2015,SE,3,X,10,
NWT,itex,11/10/2015,N,2,X,25,
NWT,itex,11/24/2015,SW,1,P,45,
NWT,itex,11/24/2015,SE,3,P,40,
NWT,itex,11/24/2015,N,2,P,40,
NWT,itex,11/24/2015,SW,1,X,10,
NWT,itex,11/24/2015,SE,3,X,10,
NWT,itex,11/24/2015,N,2,X,10,
NWT,itex,12/10/2015,SW,1,P,50,
NWT,itex,12/10/2015,SE,3,P,45,
NWT,itex,12/10/2015,N,2,P,50,
NWT,itex,12/10/2015,SW,1,X,10,
NWT,itex,12/10/2015,SE,3,X,10,
NWT,itex,12/10/2015,N,2,X,5,
NWT,itex,1/5/2016,SW,1,P,100,
NWT,itex,1/5/2016,SE,3,P,80,
NWT,itex,1/5/2016,N,2,P,110,
NWT,itex,1/5/2016,SW,1,X,40,
NWT,itex,1/5/2016,SE,3,X,35,
NWT,itex,1/5/2016,N,2,X,40,
NWT,itex,1/19/2016,SW,1,P,65,
NWT,itex,1/19/2016,SE,3,P,80,
NWT,itex,1/19/2016,N,2,P,70,
NWT,itex,1/19/2016,SW,1,X,30,
NWT,itex,1/19/2016,SE,3,X,20,
NWT,itex,1/19/2016,N,2,X,30,
NWT,itex,2/17/2016,SW,1,P,80,
NWT,itex,2/17/2016,SE,3,P,70,
NWT,itex,2/17/2016,N,2,P,110,
NWT,itex,2/17/2016,SW,1,X,10,
NWT,itex,2/17/2016,SE,3,X,10,
NWT,itex,2/17/2016,N,2,X,10,
NWT,itex,3/23/2016,SW,1,P,100,
NWT,itex,3/23/2016,SE,3,P,100,
NWT,itex,3/23/2016,N,2,P,130,
NWT,itex,3/23/2016,SW,1,X,40,
NWT,itex,3/23/2016,SE,3,X,70,
NWT,itex,3/23/2016,N,2,X,50,
NWT,itex,4/5/2016,SW,1,P,120,
NWT,itex,4/5/2016,SE,3,P,110,
NWT,itex,4/5/2016,N,2,P,120,
NWT,itex,4/5/2016,SW,1,X,70,
NWT,itex,4/5/2016,SE,3,X,50,
NWT,itex,4/5/2016,N,2,X,90,
NWT,itex,5/5/2016,SW,1,P,120,
NWT,itex,5/5/2016,SE,3,P,110,
NWT,itex,5/5/2016,N,2,P,130,
NWT,itex,5/5/2016,SW,1,X,80,
NWT,itex,5/5/2016,SE,3,X,70,
NWT,itex,5/5/2016,N,2,X,90,
NWT,itex,5/19/2016,SW,1,P,120,
NWT,itex,5/19/2016,SE,3,P,110,
NWT,itex,5/19/2016,N,2,P,120,
NWT,itex,5/19/2016,SW,1,X,70,
NWT,itex,5/19/2016,SE,3,X,70,
NWT,itex,5/19/2016,N,2,X,80,
NWT,itex,6/6/2016,SW,1,P,50,
NWT,itex,6/6/2016,SE,3,P,50,
NWT,itex,6/6/2016,N,2,P,70,
NWT,itex,6/6/2016,SW,1,X,10,
NWT,itex,6/6/2016,SE,3,X,10,
NWT,itex,6/6/2016,N,2,X,30,
